Date,Production (tonnes),Electricity (kWh),Natural Gas (m³),Water (m³),CO2 Emissions (kg),NOx Emissions (kg),SOx Emissions (kg),Waste Generated (kg),Waste Recycled (kg),Employees on Site,Safety Incidents
2020-01-01,1153,914329,131442,3127.0938936116845,1202579,1564.850692765675,737.7118762960994,130289,69180,155,0
2020-01-02,1118,694278,111800,2043.5261472398995,1020734,1576.262918643478,775.937345262822,163228,111800,186,0
2020-01-03,1095,674520,152205,1832.4671304082663,1139895,840.3715338316092,834.4350198322524,64605,61320,166,0
2020-01-04,824,646840,144200,1539.2452409873877,750664,913.8806517996742,552.3740700414809,121128,41200,200,0
2020-01-05,1001,612612,178178,2875.37347394086,1007006,796.1217664101786,303.97760793719203,129129,74074,196,0
2020-01-06,859,633083,105657,2109.5848219974487,793716,891.5718734934229,677.0356826823913,88477,84182,155,0
2020-01-07,926,802842,169458,1962.403212687883,948224,532.7283973992218,319.2010483284022,63894,37040,194,0
2020-01-08,841,535717,124468,1825.9119912832127,744285,1059.8558869279773,649.4539436915177,47937,37004,187,0
2020-01-09,1133,852016,196009,3307.715635459866,1027631,1217.599805906521,482.2450177396298,165418,104236,188,0
2020-01-10,933,806112,105429,2677.69831097625,849030,912.460028703037,440.31404596249314,110094,29856,162,0
2020-01-11,1108,837648,217168,2317.762730357065,1039304,1213.5640176012798,366.0061835823131,55400,74236,183,0
2020-01-12,1119,885129,120852,3017.0777802028483,1055217,1433.1425504286963,876.0629375598372,79449,76092,199,0
2020-01-13,1136,919024,212432,3385.4498330521715,1001952,1301.4949326491487,503.2709314114616,130640,54528,199,0
2020-01-14,840,609840,114240,1653.8442091857557,798840,590.743622226459,510.92764642109864,119280,60480,193,0
2020-01-15,1168,1038352,232432,1919.8152614645649,1125952,1528.4090173213806,931.4371635910342,81760,109792,163,0
2020-01-16,906,800904,163986,1736.2615215956469,904188,1171.958515095995,363.58691694317935,61608,66138,198,0
2020-01-17,1062,913320,114696,2878.0105210679208,1081116,1316.825204237027,699.6479697836229,152928,93456,174,0
2020-01-18,1182,977514,192666,3292.6317408367267,1100442,889.8137860812666,404.0049355355277,95742,89832,191,0
